Organism,Speed,x,y
Neisseria gonorrhoeae,1,-203.96285299503708,226.67760922758038
Neisseria gonorrhoeae,1,243.26324230881005,63.24205098868693
Neisseria gonorrhoeae,1,369.617955625779,-243.36846241986493
Neisseria gonorrhoeae,1,14.996659429003008,530.9922352505034
Neisseria gonorrhoeae,1,-367.70289217325654,209.70399702191068
Neisseria gonorrhoeae,1,11.484863403509557,-243.53889390469598
Neisseria gonorrhoeae,1,75.84281407638086,-140.50257522077504
Neisseria gonorrhoeae,1,218.90465756993328,-77.72673332719172
Neisseria gonorrhoeae,1,-284.3364228694084,61.43906557735029
Neisseria gonorrhoeae,1,-38.64595258369705,-256.61386515931014
Neisseria gonorrhoeae,1,336.6647416919207,-272.23104276812165
Neisseria gonorrhoeae,1,105.08729945319652,127.81413223987094
Neisseria gonorrhoeae,1,-5.000979827605303,367.64645312223286
Neisseria gonorrhoeae,1,2.0386988152161982,-607.9394313840336
Neisseria gonorrhoeae,1,220.85706150994227,-168.58212162233116
Neisseria gonorrhoeae,1,185.46459146539587,51.076925622840214
Neisseria gonorrhoeae,1,386.7262450362307,183.0013206874032
Neisseria gonorrhoeae,1,269.4998985071214,-166.98145595622574
Neisseria gonorrhoeae,1,392.58323825801347,-439.8990740864849
Neisseria gonorrhoeae,1,-149.48155717844884,-194.02051116314607
Neisseria gonorrhoeae,1,335.34984470954504,432.09027794289875
Neisseria gonorrhoeae,1,177.83862794757135,124.86332257865554
Neisseria gonorrhoeae,1,-318.54630625944833,171.58161634651046
Neisseria gonorrhoeae,1,32.37225971482632,280.97679189593805
Neisseria gonorrhoeae,1,126.40602156701821,-156.9626763150512
Neisseria gonorrhoeae,1,165.78323260340264,-442.24448635401825
Neisseria gonorrhoeae,1,77.51790647020543,-91.96825963114179
Neisseria gonorrhoeae,1,-189.57632525465948,61.257805939111634
Neisseria gonorrhoeae,1,-245.33704645433022,528.9405568122257
Neisseria gonorrhoeae,1,388.93267183290885,-240.48819595263703
Neisseria gonorrhoeae,1,-594.353231785007,-147.40171124786764
Neisseria gonorrhoeae,1,259.1459028575992,-335.44168843725123
Neisseria gonorrhoeae,1,10.139115534319616,389.82777260528775
Neisseria gonorrhoeae,1,314.2635105456934,486.017269334542
Neisseria gonorrhoeae,1,-182.85503941227367,-45.03918820689346
Neisseria gonorrhoeae,1,-788.2698578715616,-653.5403788984302
Neisseria gonorrhoeae,1,-134.53590322948858,190.8454589798061
Neisseria gonorrhoeae,1,309.98993089376677,456.9046877889554
Neisseria gonorrhoeae,1,-548.5382073187028,-418.45430637793595
Neisseria gonorrhoeae,1,367.91133799398375,-195.00704474748548
Neisseria gonorrhoeae,1,-270.504762599114,-152.10141412827852
Neisseria gonorrhoeae,1,293.2682579510342,69.90715867336424
Neisseria gonorrhoeae,1,401.16603906543276,211.51294255204098
Neisseria gonorrhoeae,1,790.5110849076042,3.4159122303619283
Neisseria gonorrhoeae,1,133.0958474176307,283.1445768709377
Neisseria gonorrhoeae,1,-514.5732416713506,-97.42097481634922
Neisseria gonorrhoeae,1,319.55048559153596,-176.5648795731402
Neisseria gonorrhoeae,1,5.3907372732851995,-62.85245439339757
Neisseria gonorrhoeae,1,344.0394625602499,606.8554037148771
Neisseria gonorrhoeae,1,321.8012684648901,-290.66076933602744
Neisseria gonorrhoeae,1,-359.5869833884684,-313.98945160158553
Neisseria gonorrhoeae,1,-288.5020407563005,-187.70767962209678
Neisseria gonorrhoeae,1,200.05821813110703,287.05418038946175
Neisseria gonorrhoeae,1,204.25414365221215,49.501613817214654
Neisseria gonorrhoeae,1,-399.14146445544196,-158.14209835025
Neisseria gonorrhoeae,1,-339.38394097543346,-23.53200819053196
Neisseria gonorrhoeae,1,-75.69791276599732,-132.67744026182868
Neisseria gonorrhoeae,1,289.2430412099986,-582.8390222726283
Neisseria gonorrhoeae,1,-199.52525321986585,14.74061244854554
Neisseria gonorrhoeae,1,339.6042262675795,-335.8645781518926
Neisseria gonorrhoeae,1,-616.2032936613698,288.6338701811225
Neisseria gonorrhoeae,1,-223.9395788195586,588.2851115634902
Neisseria gonorrhoeae,1,-121.01326905491409,-104.53420698883711
Neisseria gonorrhoeae,1,-117.39050080416833,20.97948982011574
Neisseria gonorrhoeae,1,-549.1185527353139,26.44939171368722
Neisseria gonorrhoeae,1,328.0917897221927,-198.6961405466145
Neisseria gonorrhoeae,1,113.52148221277287,17.315937084456984
Neisseria gonorrhoeae,1,10.604872025118317,-503.2727633380015
Neisseria gonorrhoeae,1,-173.99821286580598,-187.5533137350655
Neisseria gonorrhoeae,1,-75.8232017662874,230.54970988009504
Neisseria gonorrhoeae,1,345.39643716673504,-29.00594263397594
Neisseria gonorrhoeae,1,201.39773867698622,-86.33417716809161
Neisseria gonorrhoeae,1,-92.83987777487093,-321.3610806033217
Neisseria gonorrhoeae,1,-166.74360888296954,114.01140322838138
Neisseria gonorrhoeae,1,653.85190191682,229.27737046773294
Neisseria gonorrhoeae,1,-448.08850930588267,312.59771648864194
Neisseria gonorrhoeae,1,109.11763255838444,16.95119347928043
Neisseria gonorrhoeae,1,-308.0439832044182,57.13267313712684
Neisseria gonorrhoeae,1,256.4615039600323,62.41630516706938
Neisseria gonorrhoeae,1,219.25615732841965,342.63418998618744
Neisseria gonorrhoeae,1,-82.97627356648114,161.28719026919012
Neisseria gonorrhoeae,1,-85.26934138383714,87.58146381750063
Neisseria gonorrhoeae,1,143.08334310464696,-164.74236283590827
Neisseria gonorrhoeae,1,-43.390194532671245,-347.9992664723448
Neisseria gonorrhoeae,1,27.49702607313044,-9.368990385466727
Neisseria gonorrhoeae,1,-236.4627317662178,-147.0718353116197
Neisseria gonorrhoeae,1,117.31945144264745,152.6007851149899
Neisseria gonorrhoeae,1,-264.09163771024157,-427.03253425053924
Neisseria gonorrhoeae,1,-288.82031614053915,-291.9666703508318
Neisseria gonorrhoeae,1,61.23216103762056,249.62686026565575
Neisseria gonorrhoeae,1,336.49118846382214,-36.97074949412762
Neisseria gonorrhoeae,1,-52.80931600230535,-97.81725481707103
Neisseria gonorrhoeae,1,23.695813837827373,-343.66409609825223
Neisseria gonorrhoeae,1,234.56882595824612,-400.5724052917255
Neisseria gonorrhoeae,1,-498.5805491713535,235.35988804203362
Neisseria gonorrhoeae,1,-222.44401997917942,184.75334009970788
Neisseria gonorrhoeae,1,179.02752049438925,110.49652639790456
Neisseria gonorrhoeae,1,512.6036017625048,-27.979849611701177
Neisseria gonorrhoeae,1,339.80939752670304,-188.82402339690987
Neisseria gonorrhoeae,1,253.3131299130042,181.77802774311024
Neisseria gonorrhoeae,1,-292.2157025878842,328.9379130791489
Neisseria gonorrhoeae,1,119.4965019725113,335.36838261697835
Neisseria gonorrhoeae,1,-47.1757309361586,-454.18825697702005
Neisseria gonorrhoeae,1,-503.94986447424037,-11.722117599513275
Neisseria gonorrhoeae,1,324.2121434856361,-83.38023228004492
Neisseria gonorrhoeae,1,228.8056337021451,-811.0358996950455
Neisseria gonorrhoeae,1,-68.84628599285857,-48.70459476922044
Neisseria gonorrhoeae,1,484.0585132399158,389.59133646886386
Neisseria gonorrhoeae,1,171.4248705952406,-6.935057315522817
Neisseria gonorrhoeae,1,-173.78392718920304,57.058809821798526
Neisseria gonorrhoeae,1,396.6538623553286,-669.701433384571
Neisseria gonorrhoeae,1,-411.92535595882504,311.46144633884745
Neisseria gonorrhoeae,1,-325.5530135080774,-16.77158676737901
Neisseria gonorrhoeae,1,-221.98786296660953,265.31325189313577
Neisseria gonorrhoeae,1,203.37466907483386,323.30509926402084
Neisseria gonorrhoeae,1,-239.43276098312222,95.25777558069773
Neisseria gonorrhoeae,1,-27.70661128752906,446.2026385988909
Neisseria gonorrhoeae,1,100.03191223279917,32.697106582568296
Neisseria gonorrhoeae,1,108.58186377769367,159.8968308242874
Neisseria gonorrhoeae,1,-151.19327094734965,-223.11634433536062
Neisseria gonorrhoeae,1,68.92862219280035,-182.7201510699542
Neisseria gonorrhoeae,1,-377.7265939444922,-337.03284448927377
Neisseria gonorrhoeae,1,134.25091134309196,115.5369572361321
Neisseria gonorrhoeae,1,-137.39643233641607,-367.44428516228254
Neisseria gonorrhoeae,1,-60.82834079344506,558.1026273543515
Neisseria gonorrhoeae,1,387.9310766356638,-213.0950138141362
Neisseria gonorrhoeae,1,44.54839734902307,-241.53995431994963
Neisseria gonorrhoeae,1,-796.3942707848817,-209.70016871424627
Neisseria gonorrhoeae,1,-18.54395609185583,-30.42784969488424
Neisseria gonorrhoeae,1,76.65628763328371,324.2322125678831
Neisseria gonorrhoeae,1,-378.58278225856674,-237.10771855721418
Neisseria gonorrhoeae,1,78.96289000917979,151.8374535208763
Neisseria gonorrhoeae,1,349.2887590303392,169.01879746179983
Neisseria gonorrhoeae,1,279.6148583445697,-150.2048394034724
Neisseria gonorrhoeae,1,-305.550739263625,-75.98217811317821
Neisseria gonorrhoeae,1,-630.6119108089267,54.72528767897753
Neisseria gonorrhoeae,1,-257.58477673703146,-502.45453014991637
Neisseria gonorrhoeae,1,87.55513780208601,153.49243506997223
Neisseria gonorrhoeae,1,570.9633648259096,107.73244148746959
Neisseria gonorrhoeae,1,-577.3162116959653,-130.63765889986982
Neisseria gonorrhoeae,1,-86.25486720118101,329.5825403632163
Neisseria gonorrhoeae,1,4.454466503619341,325.8960806360695
Neisseria gonorrhoeae,1,-343.3625977861751,-346.5534149404616
Neisseria gonorrhoeae,1,-205.91936152014932,-245.58937602999603
Neisseria gonorrhoeae,1,-158.89225443385027,-58.415662365156074
Neisseria gonorrhoeae,1,-513.4981112944487,-165.4843034575272
Neisseria gonorrhoeae,1,-19.268610284621708,56.5901082561703
Neisseria gonorrhoeae,1,399.006198725534,-342.29635901563717
Neisseria gonorrhoeae,1,731.54521490222,-135.76466495774423
Neisseria gonorrhoeae,1,243.19796214696382,7.890897047378026
Neisseria gonorrhoeae,1,11.68520988224732,-278.09609696861907
Neisseria gonorrhoeae,1,-1.1065628400071668,173.1330982314784
Neisseria gonorrhoeae,1,100.80461502654956,-91.39693378443948
Neisseria gonorrhoeae,1,-98.36966649562916,-237.45856765852545
Neisseria gonorrhoeae,1,-284.9288629514497,-200.1452018179432
Neisseria gonorrhoeae,1,435.1832376285785,-31.046579480345592
Neisseria gonorrhoeae,1,442.900324825294,87.20063105565482
Neisseria gonorrhoeae,1,11.041669508775705,-165.81931519261255
Neisseria gonorrhoeae,1,24.21357812222881,-158.6705392922477
Neisseria gonorrhoeae,1,541.9387486671332,420.4942763178378
Neisseria gonorrhoeae,1,167.31639457754758,-543.2235046713514
Neisseria gonorrhoeae,1,420.6060925323822,-274.50927296848386
Neisseria gonorrhoeae,1,134.1214178928206,390.3939068389096
Neisseria gonorrhoeae,1,-251.04758756458492,422.84043277673555
Neisseria gonorrhoeae,1,43.79018220699695,545.4286405745435
Neisseria gonorrhoeae,1,224.55237509323484,-172.92274598983664
Neisseria gonorrhoeae,1,-87.9717464784392,-48.86176018849914
Neisseria gonorrhoeae,1,-591.2398797161272,57.198171883995
Neisseria gonorrhoeae,1,140.37150027537766,356.97169113297
Neisseria gonorrhoeae,1,182.0475981194975,-207.57786083017658
Neisseria gonorrhoeae,1,-146.37234655378947,-52.297505915762684
Neisseria gonorrhoeae,1,-37.23093933445658,-102.0729996496229
Neisseria gonorrhoeae,1,270.8598050047368,-268.80027854162284
Neisseria gonorrhoeae,1,-293.75122163934236,523.7409028951537
Neisseria gonorrhoeae,1,-629.0328625240553,450.3171617046149
